symbol,time,open,high,low,close,tick_volume,spread,real_volume
XAUUSD,2024-12-23 11:10:00,2618.55,2619.7,2618.55,2619.48,306,9,0
XAUUSD,2024-12-23 11:15:00,2619.61,2620.11,2617.66,2618.05,279,9,0
XAUUSD,2024-12-23 11:20:00,2618.06,2618.5,2616.52,2616.83,290,9,0
XAUUSD,2024-12-23 11:25:00,2616.71,2617.26,2616.23,2616.42,332,9,0
XAUUSD,2024-12-23 11:30:00,2616.31,2616.5,2615.57,2616.09,347,9,0
XAUUSD,2024-12-23 11:35:00,2616.09,2616.4,2614.98,2615.84,294,9,0
XAUUSD,2024-12-23 11:40:00,2615.84,2616.21,2614.55,2614.85,308,9,0
XAUUSD,2024-12-23 11:45:00,2614.75,2616.37,2613.02,2616.06,324,8,0
XAUUSD,2024-12-23 11:50:00,2616.08,2616.92,2615.38,2615.53,341,6,0
XAUUSD,2024-12-23 11:55:00,2615.52,2616.76,2615.42,2616.19,316,5,0
XAUUSD,2024-12-23 12:00:00,2616.25,2617.22,2615.78,2616.93,340,6,0
XAUUSD,2024-12-23 12:05:00,2617.0,2617.57,2616.3,2616.83,237,9,0
XAUUSD,2024-12-23 12:10:00,2616.83,2618.69,2616.82,2618.5,312,9,0
XAUUSD,2024-12-23 12:15:00,2618.49,2618.56,2616.58,2617.03,388,10,0
XAUUSD,2024-12-23 12:20:00,2617.03,2618.1,2616.86,2617.38,366,9,0
XAUUSD,2024-12-23 12:25:00,2617.38,2617.96,2616.76,2616.92,383,6,0
XAUUSD,2024-12-23 12:30:00,2616.97,2616.99,2614.88,2615.15,386,9,0
XAUUSD,2024-12-23 12:35:00,2615.12,2615.74,2614.37,2615.7,318,9,0
XAUUSD,2024-12-23 12:40:00,2615.69,2615.99,2614.92,2615.54,281,9,0
XAUUSD,2024-12-23 12:45:00,2615.41,2615.7,2614.04,2615.11,312,9,0
XAUUSD,2024-12-23 12:50:00,2615.11,2616.03,2615.11,2615.42,243,9,0
XAUUSD,2024-12-23 12:55:00,2615.44,2615.63,2614.64,2615.03,320,9,0
